Product,Region,Year,Production_tons
Qumësht lope,Berat,2004,61414
Qumësht lope,Berat,2005,60945
Qumësht lope,Berat,2006,63893
Qumësht lope,Berat,2007,58996
Qumësht lope,Berat,2008,54918
Qumësht lope,Berat,2009,46491
Qumësht lope,Berat,2010,47104
Qumësht lope,Berat,2011,48428
Qumësht lope,Berat,2012,49047
Qumësht lope,Berat,2013,49047
Qumësht lope,Berat,2014,51384
Qumësht lope,Berat,2015,50749
Qumësht lope,Berat,2016,50970
Qumësht lope,Berat,2017,51079
Qumësht lope,Berat,2018,48050
Qumësht lope,Berat,2019,47909
Qumësht lope,Berat,2020,43191
Qumësht lope,Berat,2021,37424
Qumësht lope,Berat,2022,36324
Qumësht lope,Berat,2023,33399
Qumësht lope,Dibër,2004,64273
Qumësht lope,Dibër,2005,66965
Qumësht lope,Dibër,2006,65896
Qumësht lope,Dibër,2007,58582
Qumësht lope,Dibër,2008,54550
Qumësht lope,Dibër,2009,54951
Qumësht lope,Dibër,2010,56386
Qumësht lope,Dibër,2011,57715
Qumësht lope,Dibër,2012,59072
Qumësht lope,Dibër,2013,59072
Qumësht lope,Dibër,2014,63313
Qumësht lope,Dibër,2015,63461
Qumësht lope,Dibër,2016,63222
Qumësht lope,Dibër,2017,64362
Qumësht lope,Dibër,2018,65895
Qumësht lope,Dibër,2019,64710
Qumësht lope,Dibër,2020,64450
Qumësht lope,Dibër,2021,63786
Qumësht lope,Dibër,2022,61779
Qumësht lope,Dibër,2023,60688
Qumësht lope,Durrës,2004,80840
Qumësht lope,Durrës,2005,78619
Qumësht lope,Durrës,2006,55848
Qumësht lope,Durrës,2007,57649
Qumësht lope,Durrës,2008,63157
Qumësht lope,Durrës,2009,63996
Qumësht lope,Durrës,2010,65341
Qumësht lope,Durrës,2011,67280
Qumësht lope,Durrës,2012,68064
Qumësht lope,Durrës,2013,68189
Qumësht lope,Durrës,2014,70132
Qumësht lope,Durrës,2015,67810
Qumësht lope,Durrës,2016,68513
Qumësht lope,Durrës,2017,68990
Qumësht lope,Durrës,2018,67440
Qumësht lope,Durrës,2019,62574
Qumësht lope,Durrës,2020,62580
Qumësht lope,Durrës,2021,62962
Qumësht lope,Durrës,2022,63857
Qumësht lope,Durrës,2023,47350
Qumësht lope,Elbasan,2004,106734
Qumësht lope,Elbasan,2005,110252
Qumësht lope,Elbasan,2006,115143
Qumësht lope,Elbasan,2007,105923
Qumësht lope,Elbasan,2008,117987
Qumësht lope,Elbasan,2009,115778
Qumësht lope,Elbasan,2010,122548
Qumësht lope,Elbasan,2011,128056
Qumësht lope,Elbasan,2012,128200
Qumësht lope,Elbasan,2013,126859
Qumësht lope,Elbasan,2014,122145
Qumësht lope,Elbasan,2015,120518
Qumësht lope,Elbasan,2016,121676
Qumësht lope,Elbasan,2017,124219
Qumësht lope,Elbasan,2018,121689
Qumësht lope,Elbasan,2019,120821
Qumësht lope,Elbasan,2020,112635
Qumësht lope,Elbasan,2021,95041
Qumësht lope,Elbasan,2022,81589
Qumësht lope,Elbasan,2023,68654
Qumësht lope,Fier,2004,173548
Qumësht lope,Fier,2005,175270
Qumësht lope,Fier,2006,183905
Qumësht lope,Fier,2007,171895
Qumësht lope,Fier,2008,175037
Qumësht lope,Fier,2009,206050
Qumësht lope,Fier,2010,202505
Qumësht lope,Fier,2011,201038
Qumësht lope,Fier,2012,198341
Qumësht lope,Fier,2013,195512
Qumësht lope,Fier,2014,202048
Qumësht lope,Fier,2015,195441
Qumësht lope,Fier,2016,194837
Qumësht lope,Fier,2017,196287
Qumësht lope,Fier,2018,198200
Qumësht lope,Fier,2019,198690
Qumësht lope,Fier,2020,182000
Qumësht lope,Fier,2021,167376
Qumësht lope,Fier,2022,160778
Qumësht lope,Fier,2023,154894
Qumësht lope,Gjirokastër,2004,30308
Qumësht lope,Gjirokastër,2005,30004
Qumësht lope,Gjirokastër,2006,32410
Qumësht lope,Gjirokastër,2007,25922
Qumësht lope,Gjirokastër,2008,25408
Qumësht lope,Gjirokastër,2009,23359
Qumësht lope,Gjirokastër,2010,23226
Qumësht lope,Gjirokastër,2011,23916
Qumësht lope,Gjirokastër,2012,24248
Qumësht lope,Gjirokastër,2013,24074
Qumësht lope,Gjirokastër,2014,24902
Qumësht lope,Gjirokastër,2015,26333
Qumësht lope,Gjirokastër,2016,23527
Qumësht lope,Gjirokastër,2017,21370
Qumësht lope,Gjirokastër,2018,21487
Qumësht lope,Gjirokastër,2019,20674
Qumësht lope,Gjirokastër,2020,16990
Qumësht lope,Gjirokastër,2021,19459
Qumësht lope,Gjirokastër,2022,17721
Qumësht lope,Gjirokastër,2023,17550
Qumësht lope,Korçë,2004,88757
Qumësht lope,Korçë,2005,93342
Qumësht lope,Korçë,2006,97962
Qumësht lope,Korçë,2007,81220
Qumësht lope,Korçë,2008,74008
Qumësht lope,Korçë,2009,75163
Qumësht lope,Korçë,2010,79443
Qumësht lope,Korçë,2011,84065
Qumësht lope,Korçë,2012,84691
Qumësht lope,Korçë,2013,84313
Qumësht lope,Korçë,2014,75928
Qumësht lope,Korçë,2015,84466
Qumësht lope,Korçë,2016,89083
Qumësht lope,Korçë,2017,98642
Qumësht lope,Korçë,2018,97843
Qumësht lope,Korçë,2019,92313
Qumësht lope,Korçë,2020,92125
Qumësht lope,Korçë,2021,93230
