Product,Region,Year,Forecast_tons
Lesh,Berat,2024,210
Lesh,Berat,2025,221
Lesh,Berat,2026,228
Lesh,Berat,2027,232
Lesh,Berat,2028,236
Lesh,Dibër,2024,133
Lesh,Dibër,2025,131
Lesh,Dibër,2026,132
Lesh,Dibër,2027,131
Lesh,Dibër,2028,132
Lesh,Durrës,2024,94
Lesh,Durrës,2025,94
Lesh,Durrës,2026,94
Lesh,Durrës,2027,94
Lesh,Durrës,2028,94
Lesh,Elbasan,2024,384
Lesh,Elbasan,2025,367
Lesh,Elbasan,2026,369
Lesh,Elbasan,2027,369
Lesh,Elbasan,2028,369
Lesh,Fier,2024,459
Lesh,Fier,2025,458
Lesh,Fier,2026,458
Lesh,Fier,2027,458
Lesh,Fier,2028,458
Lesh,Gjirokastër,2024,218
Lesh,Gjirokastër,2025,218
Lesh,Gjirokastër,2026,218
Lesh,Gjirokastër,2027,218
Lesh,Gjirokastër,2028,218
Lesh,Korçë,2024,341
Lesh,Korçë,2025,336
Lesh,Korçë,2026,338
Lesh,Korçë,2027,337
Lesh,Korçë,2028,337
Lesh,Kukës,2024,54
Lesh,Kukës,2025,57
Lesh,Kukës,2026,58
Lesh,Kukës,2027,58
Lesh,Kukës,2028,59
Lesh,Lezhë,2024,71
Lesh,Lezhë,2025,70
Lesh,Lezhë,2026,70
Lesh,Lezhë,2027,70
Lesh,Lezhë,2028,70
Lesh,Shkodër,2024,99
Lesh,Shkodër,2025,99
Lesh,Shkodër,2026,99
Lesh,Shkodër,2027,99
Lesh,Shkodër,2028,99
Lesh,Tiranë,2024,85
Lesh,Tiranë,2025,86
Lesh,Tiranë,2026,86
Lesh,Tiranë,2027,86
Lesh,Tiranë,2028,86
Lesh,Vlorë,2024,635
Lesh,Vlorë,2025,635
Lesh,Vlorë,2026,635
Lesh,Vlorë,2027,635
Lesh,Vlorë,2028,635
Mish derri,Berat,2024,189
Mish derri,Berat,2025,189
Mish derri,Berat,2026,189
Mish derri,Berat,2027,189
Mish derri,Berat,2028,189
Mish derri,Dibër,2024,116
Mish derri,Dibër,2025,115
Mish derri,Dibër,2026,115
Mish derri,Dibër,2027,115
Mish derri,Dibër,2028,115
Mish derri,Durrës,2024,593
Mish derri,Durrës,2025,666
